,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
32,Night and Fog - Gece ve Sis(Night and Fog) ,8.6,1956,Fransa,32 dakika,"Belgesel, Kısa Metrajlı, Tarih",Alain Resnais,ean Cayrol ,"Adolf Hitler, Heinrich Himmler, Michel Bouquet, Reinhard Heydrich",2 ödül & 1 nomination,"İnsanların birbirlerine zulüm etmesi insanlığın en kötü özelliklerinden biridir. Zulümün belgelenmesi insanlık tarihinin çok gerilerinden beri süregeliyor. İnsanlara korku salan anılar arasına giren Yahudi soykırımı anılarını ve 2. Dünya Savaşı’nın izlerini taşıyan Gece ve Sis filmi belgesel niteliğindedir. Eski kuşak siyah beyaz görüntüleri ile toplama kampları ve kampların kurbanlarını ele alıyor. Gece ve Sis’in itici gücü yadsımadır. Cesetler ile dolu bu filmde dikenli tellere asılı cesetlerin, toplu mezarlara taşınan cesetlerin, türlü aşağılanmaya maruz kalmış çıplak bedenlerin görüntülerini bünyesinde bulundurur. Yalnızca gaz odalarını değil, kurbanlarının derilerini, kemiklerini ve vücutlarını dehşet verici şekillere getiren Nazi davranışlarını da inceliyor. Bütün işkenceler sona erdiğinde kamplardan sorumlu olan Naziler bile suçlamaları kabul etmezken, film ‘Sorumlu kim?’ sorusuna yanıt arıyor. Kült filmlerden 720p görüntü kalitesiyle Night and Fog – Gece ve Sis altyazılı izle yebilirsiniz. "
33,City of God - Tanrı Kent(Cidade de Deus) ,8.6,2002,"Almanya, Brazil, Fransa",130 dakika,"Dram, Suç","Fernando Meirelles, Kátia Lund","aulo Lins, Bráulio Mantovani","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",4 Oscar Adaylığı. 74 ödül & 50 adaylık. total,"Rio'nun kötü şöhretli bir gecekondu mahallesinde geçen Cidade de Deus / Tanrı'nın Şehri - arkadaşlarının ve abisinin gangster olmak istediğini gören ve başka bir şey yapmaya karar veren bir çocuğun hikayesi. Bu arada mahalledeki iktidar mücadelelerini, nasıl geliştiğini, baş kahramanların kim olduğunu ve düşmanlıklarının durumunu da görüyoruz."
34,Interstellar - Yıldızlararası,8.6,2014,"Canada, United Kingdom, United States",169 dakika,"Bilim Kurgu, Dram, Macera",Christopher Nolan,"onathan Nolan, Christopher Nolan","Anne Hathaway, Jessica Chastain, Matthew McConaughey",1 Oscar Kazandı. 44 ödül & 148 adaylık. total,"Yakın gelecekte Dünya, gıda kıtlığına ve iklimde aşırı değişikliklere neden olan kuraklık ve kıtlık nedeniyle harap olur. Bir grup kaşif, yaşamı sürdürebilecek bir gezegen bulmak için güneş sistemimizin ötesine seyahat etmelidir. Endurance mürettebatı, bilinmeyene doğru yıldızlararası bir yolculuğa çıkarken daha büyük düşünmesi ve tarihteki herhangi bir insandan daha ileri gitmesi gerekiyor. "
35,"Pretty Village, Pretty Flame(Lepa sela lepo gore) ",8.6,1996,Federal Republic of Yugoslavia,115 dakika,"Dram, Komedi, Tarih",Srdjan Dragojevic,"anja Bulic, Srdjan Dragojevic, Biljana Maksic","Dragan Bjelogrlic, Dragan Maksimovic, Nikola Kojo",6 ödül & 2 Adaylık.,"Bir Sırp olan Milan ve bir Müslüman olan Halil, bir köyde en yakın arkadaşlar olarak büyüdüler. Ancak yıllar sonra savaş geldiğinde kendilerini korkunç, insanlık dışı bir çatışmanın karşıt taraflarında bulurlar. Milan'ın birliği, yeni inşa edilmiş bir tünelde, düşman askerleriyle çevrili bir şekilde kapana kısılır. İki eski arkadaşın kaderleri bir yüzleşmeye doğru ilerler. Kült Filmlerden 1080p görüntü kalitesiyle Pretty Village, Pretty Flame izle yebilirsiniz."
36,Trees of Peace,8.6,2021,United States,97 dakika,Dram,Alanna Brown,lanna Brown,"Charmaine Bingwa, Eliane Umuhire, Ella Cannon",11 ödül,"Farklı geçmişlere sahip dört kadın, Ruanda'daki soykırım sırasında kapana kısılıp saklanırken birbirlerine kenetleniyor. Gerçek olaylardan esinlenilen bu filme konu olan soykırım 7 Nisan-15 Temmuz 1994 tarihleri ​​arasında gerçekleşti ve bu dönemde Tutsi azınlık etnik grubunun üyeleri silahlı askerler tarafından katledildi. Tutsi ölümlerinin sayısının 500.000 ila 662.000 civarında olduğu tahmin ediliyor. Bu olayın vahşeti dünyayı şok etti, ancak yine de hiçbir ülke cinayetleri durdurma girişiminde bulunmadı. Kült Filmlerden 1080p görüntü kalitesiyle Trees of Peace izle yebilirsiniz."
37,Yeşil Yol - The Green Mile,8.6,1999,Amerika,189 dakika,"Dram, Fantastik, Gizem, Suç",Frank Darabont,"tephen King, Frank Darabont ","Bonnie Hunt, David Morse, Michael Clarke Duncan, Tom Hanks",4 Oscar Adaylığı. Diğer 15 ödül & 33 adaylık.,"The Green Mile Stephen King'in aynı isimdeki romanından uyarlanmıştır. Green Mile'da hayat normal seyrinde devam ederken bir gün, iki genç beyaz kıza tecavüz etmekten ve öldürmekten hüküm giyen dev bir siyahi adam olan John Coffey adlı yeni bir mahkum gelir. John hücresine götürüldüğünde bir çocuk gibi hemen kendine saklar, karanlıktan korkar ve ara sıra gözyaşlarına boğulur. Çok geçmeden buraya ayak uydurudan John, Paul'ün idrar yolu enfeksiyonunu iyileştirir ve bir fareyi dirilterek olağanüstü güçlerini ortaya çıkarır. Daha sonra beyin tümöründen muzdarip olan müdürün karısını da iyileştirecektir. John Coffey hapishanedeyken doğaüstü olaylar yaşanmaya devam edecektir... Yeşil Yol - The Green Mile filmini kült filmler den türkçe altyazılı olarak 720p görüntü kalitesiyle izle yebilirsiniz."
38,Bo Burnham: Inside,8.6,2021,United States,87 dakika,"Dram, Komedi, Müzik",Bo Burnham,o Burnham,Bo Burnham,Bulunan ödül yok.,"Bo Burnham COVID-19 salgını sırasında kendini evde yalnız başına buldu ve piyanosunun başına geçip tek bir odanın klostrofobik sınırlarından dünyayı eğlendirip eğlendiremeyeceğini görmeye karar verdi. Bo Burnham filminde herhangi bir sıralı olay örgüsü yok, özel bölüm müzikal performanslarla, Bo'nun duygularını ifade ettiği ve içinde bulunduğu koşullara kendi bakış açısını vermeye çalıştığı birçok bölüm yer alıyor. Kült filmlerden 1080p görüntü kalitesiyle Bo Burnham: Inside altyazılı izle yebilirsiniz."
39,The Departed - Köstebek,8.5,2006,Amerika,151 dakika,"Dram, Polisiye",Martin Scorsese,"illiam Monahan, Alan Mak, Felix Chong","Jack Nicholson, Leonardo DiCaprio, Mark Wahlberg, Matt Damon",4 Oscar Kazandı. Diğer 94 ödül & 139 adaylık.,"Köstebek, polis ve mafya arasındaki savaşı ele alıyor. Mafya polis teşkilatına sızması için adamlar yetiştirirken, Polis teşkilatıda mafyaya sızması için polisler yetiştiriyor. Her iki ekipte karşı tarafta çok iyi konumlara gelir. Ancak bir zaman sonra her iki cephedede köstebekler açığa çıkacaktır ve asıl macera o anda başlar... The Departed – Köstebek filmini 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz.."
40,The Prestige - Prestij,8.5,2006,"Amerika, İngiltere",130 dakika,"Dram, Gerilim, Gizem",Christopher Nolan,"onathan Nolan, Christopher Nolan, Christopher Priest ","Christian Bale, Hugh Jackman, Michael Caine, Piper Perabo",2 Oscar Adaylığı. Diğer 6 ödül & 38 adaylık.,"Yoğun rekabet, tehlikeli ve ölümcül sonuçları olan takıntılar, aldatma ve kıskançlık dolu, ömür boyu süren üstünlük mücadelesine yol açan iki büyücünün gizemli hikayesi. Robert Angier ve Alfred Borden tanıştıkları andan itibaren birbirlerini rakip olarak görmeye başladılar. Bu dostane rekabet kısa bir süre sonra şiddetli bir rekabete dönüşür ve sonuç olarak etraflarındaki herkesin hayatını tehlikeye atarlar. Prestij - The Prestige filmini kült filmlerden 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz."
41,The World of Apu - Apur Sansar(Apu'nun Dünyası) ,8.5,1959,India,105 dakika,Dram,Satyajit Ray,"ibhutibhushan Bandyopadhyay, Satyajit Ray","Alok Chakravarty, Sharmila Tagore, Soumitra Chatterjee",1 BAFTA Award5 wins & 3 nominations total.Nominated for 1 BAFTA Award5 ödül & 3 Adaylık. total,"Özlediği bağımsızlığına trajik bir şekilde ulaşan Apu, bilgiye olan susuzluğunun arttığını hissediyor. Yazma, hayal kurma ve sevme istekleri Aparna ile tanışıp onunla evlendiğinde gerçekleşmiş gibi görünüyor."
42,Modern Times - Modern Zamanlar(Asri Zamanlar) ,8.5,1936,Amerika,87 dakika,"Aile, Dram, Komedi",Charles Chaplin,harles Chaplin,"Charles Chaplin, Henry Bergman, Paulette Goddard, Tiny Sandford",4 ödül & 1 nomination,"Fabrikanın işleyişini ve fabrika çalışanlarını konu edinen film, 1936 yılında vizyona girmiştir. Siyah beyaz olan Modern Zamanlar filmi hem dramı, hem komediyi içerisinde barındırıyor. 1930’lu yılları sarsan ekonomik buhran ile makineleşmeyi, sürekli artan işsizliği ve toplumsal koşulları ele alıyor. Film içerisinde müzik kullanılsa da repliği olmayan sessiz bir filmdir. Charlie Chaplin farklı dillerdeki insanlara da aynı duyguyu yaşatmak ve cümle kullanmadan çekilen filmlerin duyguyu daha çok verdiğini düşünüyordu. Chaplin’in çektiği son sessiz film Modern Zamanlar filmidir. Avrupa’nın bazı bölümlerinde komünizm destekçisi olduğu düşünüldüğü için yasaklanmış olsa da, vizyona girdiği Avrupa ülkelerinde gişe rekorları kırmıştır. Tüm zamanların en iyi filmleri arasına girerek, unutulmaz filmler kategorisine eklenmiştir. Modern Times – Modern Zamanlar filmini kült filmlerden 720p hd türkçe altyazılı olarak izle yebilirsiniz."
43,American History X - Geçmişin Gölgesinde,8.5,1998,Amerika,119 dakika,"Drama, Suç",Tony Kaye,avid McKenna,"Beverly D'Angelo, Edward Furlong, Edward Norton, Jennifer Lien",1 Oscar Adaylığı. Diğer 4 ödül & 13 adaylık.,"Derek Vineyard, kamyonetini çalmaya çalışan iki siyahi adamı vahşice öldürdüğü için 3 yıl hapis cezasına çarptırılır. Kardeşi Danny Vineyard, abisinin arkadaşları aracılığıyla Derek'in hapse girmeden önce bir dazlak olduğunu ve Los Angeles'da siyahilere karşı ırkçı tutum sergileyen bir beyaz çetesinin lideri olduğunu öğrenir. Bunlar Danny'nin düşüncelerini ve davranışlarını büyük ölçüde etkilemiştir. Derek hapisten çıktığında düşünceleri tamamen değişmiştir çeteyle temasını koparır. Danny'nin kendi yolundan gidip hataya düşmemesini sağlamak için elinden geleni yapar. American History X filmini 1080p görüntü kalitesi ile türkçe altyazılı olarak izleyebilirsiniz. İyi seyirler..."
44,Alien - Yaratık,8.5,1979,"United Kingdom, United States",117 dakika,"Bilim Kurgu, Korku",Ridley Scott,"an O'Bannon, Ronald Shusett","John Hurt, Sigourney Weaver, Tom Skerritt",1 Oscar Kazandı. 18 ödül & 22 adaylık. total,"Uzak bir gelecekte, Dünya'ya dönüşü sırasında, ticari uzay gemisi Nostromo, aydan gelen bir imdat çağrısını yakalar. Yedi kişilik mürettebat aya iniş yapar. Mürettebattan üç kişilik bir ekip, ayı keşfederken, terk edilmiş bir uzay gemisi ve içinde binlerce yumurta içeren devasa bir oda keşfeder. Meraklı bir ekip üyesi yumurtanın yanına gittiğinde, yumurtanın içindeki parazit ona saldırır ve onu bilinçsiz hale getirir. Kült Filmlerden 1080p görüntü kalitesiyle Alien izle yebilirsiniz."
45,The Usual Suspects - Olağan Şüpheliler,8.5,1995,"Almanya, Amerika",106 dakika,"Gerilim, Suç",Bryan Singer,hristopher McQuarrie,"Benicio Del Toro, Gabriel Byrne, Kevin Pollak, Stephen Baldwin",2 Oscar Kazandı. Diğer 35 ödül & 16 adaylık.,"Olağan Şüpheliler'de, San Pedro’da patlayan bir tekneyi araştıran polis, teknede 27 ceset ve 91 milyon dolarlık uyuşturucu parası bulur. Olaydan kurtulan iki kişiden biri yanıklarla dolu vücuduyla korkmuş bir Macar terörist ve diğeri de Verbal Kint adında bir tetikçidir. Polisteki sorgusunda Kint, 6 hafta öncesinden başlayarak tüm olayları anlatır. Beş suçlunun nasıl bir araya geldiğinden, kaçırılan bir kamyondan ve bir suç lordundan polislere bahseder. The Usual Suspects – Olağan Şüpheliler filmini kült filmlerden 1080p görüntü kalitesiyle altyazılı olarak izle yebilirsiniz..."
46,Home - Yuva,8.5,2009,Fransa,118 dakika,Belgesel,Yann Arthus-Bertrand,"sabelle Delannoy, Yann Arthus-Bertrand, Denis Carot","Glenn Close, Jacques Gamblin, Yann Arthus-Bertrand",2 ödül & 1 nomination,"Elli dört ülkeden havadan çekilen görüntülerle 'Home', Dünya'nın sorunlarının nasıl birbiriyle bağlantılı olduğunun bir tasviridir. Kült Filmlerden 1080p görüntü kalitesiyle Home izle yebilirsiniz.
"
47,Michael the Brave - Mihai Viteazul(Last Crusade) ,8.5,1971,"Fransa, Italy, Romania",203 dakika,"Aksiyon, Biyografi, Dram",Sergiu Nicolaescu,itus Popovici,"Amza Pellea, Ion Besoiu, Olga Tudorache",Bulunan ödül yok.,"16. yüzyılın sonunda Eflak hükümdarı Cesur Prens Mikail, Eflak, Boğdan ve Transilvanya'yı tek bir ülkede birleştirmek için Osmanlı ve Avusturya İmparatorluklarının zorluklarının üstesinden geldi."
48,Whiplash,8.5,2014,Amerika,106 dakika,"Dram, Müzik",Damien Chazelle,amien Chazelle,"J.K. Simmons, Melissa Benoist, Miles Teller, Paul Reiser",3 Oscar Kazandı. Diğer 91 ödül & 143 adaylık.,"19 yaşındaki Andrew Niemann Buddy dünyanın en iyi caz davulcularından biri olmak istiyor. Üniversite sınavında ilk girişinde Amerika'nın en iyi müzik okulu olan Shaffer Müzik Konservatuarına giriyor. Bir gün okulun disipline önem veren ve caz duayeni olarak tanınan öğretmenlerinden biri olan Terrence Fletcher'in dikkatini çekecektir. Terrence, Andrewi studio band'e alır ancak ilerlemesinden ve çabalarından çok memnun görünmüyor. Bu iş Andrew'ın hayal ettiğinden çok daha zor bir hal alıyor. Sadece mesleki bir test değil, psikolojik bir sınavda onu bekliyor... Kült Filmlerden 1080p görüntü kalitesiyle Whiplash izle yebilirsiniz."
49,The Intouchables - Can Dostum,8.5,2011,Fransa,112 dakika,"Biyografi, Drama, Macera","Éric Toledano, Olivier Nakache","livier Nakache, Philippe Pozzo di Borgo, Éric Toledano","Anne Le Ny, Audrey Fleurot, François Cluzet, Omar Sy",1 Golden Globe Adaylığı. Diğer 38 ödül & 39 adaylık.,"Yamaç paraşütü kazasından sonra sakatlanan zengin bir aristokrat olan Philippe evde kendisine yardımcı olması için banliyöde yaşayan Driss’i işe alır. Driss ise yeni hapisten çıkmıştır ve bu iş için hiç de uygun değildir. Ama bu iki adam bir şekilde birbirlerine benzemektedir. Tamamen farklı dünyalara ait olmalarına ve her konuda farklı zevklere sahip olmalarına rağmen, hem olağan dışı hem de bir o kadar güçlü bir dostluk kurarlar... The Intouchables – Can Dostum filmini 720p görüntü kalitesiyle altyazılı olarak izle yebilirisiniz."
50,The Best of Youth - Gençliğin En İyisi(La meglio gioventù) ,8.5,2003,Italy,366 dakika,"Dram, Romantik",Marco Tullio Giordana,"andro Petraglia, Stefano Rulli","Alessio Boni, Jasmine Trinca, Luigi Lo Cascio",33 ödül & 26 Adaylık.,"Birbirine sıkı sıkıya bağlı iki kardeş, Nicola ve Matteo, yetişkinliğe, evliliğe ve orta yaşa giderken 1960'lar ve 70'lerde anavatanları olan İtalya'yı sarsan sosyal ve politik çalkantılarla sarsılırlar. Bu sırada Nicola, politik inançları kişisel mutluluğunun önüne geçen hayatının aşkı Giulia ile tanışır. Kült Filmlerden 1080p görüntü kalitesiyle The Best of Youth izle yebilirsiniz."
51,Hotaru No Haka - Ateş Böceklerinin Mezarı(Grave of the Fireflies) ,8.5,1988,Japonya,89 dakika,"Animasyon, Drama, Savaş",Isao Takahata,"kiyuki Nosaka, Isao Takahata","Akemi Yamaguchi, Ayano Shiraishi, Tsutomu Tatsumi, Yoshiko Shinohara",3 ödül,"Grave of the Fireflies filmi İkinci Dünya Savaşı Japonyasında yaşayan iki genç kardeş olan Seita ve Satsuko'nun hikayesini ele alıyor. Bir Amerikan bombası iki çocuğu ebeveynlerinden ayırdığında, iki kardeş hayatta kalmak için savaşmaya çalışıcaktır... Hotaru no haka filmini 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz..."
52,Le trou - Delik,8.5,1960,"Fransa, Italy",131 dakika,"Dram, Suç",Jacques Becker,"osé Giovanni, Jacques Becker, José Giovanni, Jean Aurel, Jacques Becker, José Giovanni ","Jean Keraudy, Michel Constantin, Philippe Leroy, Raymond Meunier",2 BAFTA Film Awards. Diğer 2 ödül & 2 adaylık.,"Dört hücre arkadaşı, kaldıkları küçük hücreden ayrıntılı bir kaçış planı yaparak kaçmak üzereyken yakın zamanda tadilat yapılacak bir hücrede kalan başka bir tutuklu aralarına katılır. Dördü kesin bir mahkumiyet ve uzun cezalarla karşı karşıya olduğu için kaçış fikri onlar için kaçınılmazdır. Peki yeni hapishane arkadaşları da aynı düşünceye sahip mi? Eğer öyleyse ona güvenebilirler mi? Gerçek bir hikayeyi konu alan Le trou – Delik filmini Kült Filmlerden 720p türkçe altyazılı izleyebilirsiniz. "
53,Sardar Udham,8.5,2021,India,164 dakika,"Biyografi, Dram, Suç",Shoojit Sircar,"hubhendu Bhattacharya, Ritesh Shah","Shaun Scott, Stephen Hogan, Vicky Kaushal",13 ödül & 13 Adaylık.,"13 Nisan 1919'da Jallianwala Bagh katliamının arkasında olan ve Londra'da Michael O Dwyer'ın öldürülmesiyle tanınan Hintli devrimci Udham Singh'in hayatını anlatıyor. Hikaye, Udham Singh'in Baisakhi gününün katliamından nasıl kurtulduğunu gözler önüne seriyor."
54,Woman in the Dunes - Kum Kadın(Suna no onna) ,8.5,1964,Japan,147 dakika,"Dram, Gerilim",Hiroshi Teshigahara,"ôbô Abe, Eiko Yoshida","Eiji Okada, Hiroko Itô, Kyôko Kishida",2 Oscar Adaylığı. 10 ödül & 3 adaylık. total,"Böcekbilimci Niki Jumpei, bir dizi kumulda böcekleri ararken eve giden son otobüsü kaçırır ve yerel köylüler tarafından geceyi kum havuzunun altındaki bir evde geçirmeye ikna edilir. İsmi açıklanmayan genç bir dul orada tek başına yaşar ve köylüler tarafından inşaat için yakındaki şehirlere sattıkları kumları kazmaya zorlanır. Dul kadının yanında kum kazmak için köleleştirilen Niki, hapsedilmeye alışırken bile kaçışını planlar. Kült Filmlerden 1080p görüntü kalitesiyle Woman in the Dunes yebilirsiniz."
55,Cinema Paradiso - Cennet Sineması,8.5,1988,"Fransa, İtalya",155 dakika,Drama,Giuseppe Tornatore,"iuseppe Tornatore, Giuseppe Tornatore, Vanna Paoli, Richard Epcar","Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta",1 Oscar Kazandı. Diğer 24 ödül & 31 adaylık.,"Sicilyanın bir köyünde doğan Salvatore çocukluk arkadaşının ölümünü haber aldıktan sonra ünlü bir yönetmen olarak tekrar köyüne döner. Salvatore, burada çocukluğunu anımsar ve bir zamanlar Cinema Paradisoda projeksiyoncu olan Alfredo ile olan dostluğunuda hatırlar.... Cinema Paradiso – Cennet Sineması filmini 1080p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz..."
